"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86967",NaN,NaN,1100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86970",NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN
"86971",NaN,NaN,NaN,NaN,NaN,374,NaN,NaN,NaN,NaN
"86972",109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86973",343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86975",NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,3000,NaN
"86976",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8000,NaN
"86977",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6100,4230
"86978",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5963,NaN
"86979",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6398,NaN
"86980",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5634,NaN
"86981",700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5821,NaN
"86982",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3119,23129
"86984",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1055,NaN
"86985",NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,NaN
"86987",NaN,NaN,NaN,751,NaN,NaN,NaN,NaN,NaN,NaN
"86988",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3947,NaN
"86991",NaN,NaN,NaN,NaN,NaN,NaN,353,NaN,NaN,NaN
"86992",NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN
"86994",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,638,NaN
"86996",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300,NaN
"86998",NaN,NaN,780,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87000",300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87004",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5424
"87005",NaN,49,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN
"87006",NaN,NaN,NaN,NaN,NaN,NaN,175,NaN,NaN,NaN
"87015",NaN,NaN,NaN,NaN,10,NaN,1323,NaN,NaN,NaN
"87016",NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87020",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5541
"87022",NaN,NaN,258,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87025",NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN
"87026",NaN,NaN,NaN,NaN,167,NaN,NaN,NaN,NaN,NaN
"87036",NaN,NaN,NaN,NaN,270,NaN,NaN,NaN,NaN,NaN
"87038",NaN,NaN,NaN,NaN,828,NaN,NaN,NaN,NaN,NaN
"87039",NaN,803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87047",NaN,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87049",10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87050",NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,NaN,NaN
"87053",NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN
"87060",NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN
"87062",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,548,NaN
"87063",NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87065",NaN,26,NaN,NaN,551,NaN,NaN,NaN,NaN,NaN
"87068",NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87069",NaN,19,NaN,NaN,NaN,NaN,28,NaN,NaN,NaN
"87070",NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87071",NaN,15306,NaN,NaN,NaN,NaN,NaN,562,NaN,NaN
"87074",NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87077",NaN,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87080",NaN,376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87082",NaN,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87083",NaN,181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87084",NaN,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87085",NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87089",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN
"87091",NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87092",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2279,NaN,NaN
"87095",NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN
"87096",NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN
"87097",2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"87098",NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN
"87105",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16378,NaN
"87109",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1522,NaN
"87114",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2093,NaN
